date,steps_xml_rawsum,distance_km_xml_rawsum,flights_climbed,active_energy_kcal,exercise_min,stand_hours,hr_mean_bpm,hr_min_bpm,hr_max_bpm,hr_samples
2025-11-24,10913.0,7.4840215,13.0,180.61900000000003,5.0,3.0,108.3963,57.0,160.0,48.0
2025-11-25,20636.0,14.854874600000004,16.0,600.9119999999998,35.0,12.0,117.5564395256917,65.0,160.0,506.0
2025-11-26,9819.0,6.519816569999999,6.0,369.36299999999983,7.0,9.0,96.70482041884817,53.0,130.0,191.0
2025-11-27,10785.0,7.630330070000001,1.0,234.20399999999992,14.0,5.0,118.91016567164179,56.0,137.0,134.0
2025-11-28,5322.0,3.276553,5.0,0.0,0.0,0.0,,,,0.0
2025-11-29,10578.0,7.551538598000001,11.0,241.2960000000001,6.0,6.0,106.05108934911242,55.0,145.0,169.0
2025-11-30,2576.0,1.63317,2.0,3.799,2.0,0.0,,,,0.0
2025-12-01,3374.0,2.1270630000000006,0.0,0.0,0.0,0.0,,,,0.0
2025-12-02,1589.0,1.0273299999999999,0.0,0.0,0.0,0.0,,,,0.0
2025-12-03,877.0,0.60868,0.0,0.0,0.0,0.0,,,,0.0
2025-12-04,3662.0,2.26196,1.0,0.0,0.0,0.0,,,,0.0
2025-12-05,2092.0,1.34385,0.0,0.0,0.0,0.0,,,,0.0
2025-12-06,13512.0,9.410230429999997,11.0,450.66099999999966,36.0,9.0,114.93080823863635,55.0,156.0,704.0
2025-12-07,17090.0,11.559998669999997,16.0,437.45499999999987,21.0,7.0,119.0401806930693,61.0,170.0,202.0
2025-12-08,8019.0,5.694848519999999,9.0,234.83499999999998,17.0,4.0,100.0062738317757,65.0,132.0,107.0
2025-12-09,21138.0,14.63895969999999,22.0,542.8549999999999,21.0,10.0,123.28567524429968,63.0,162.0,307.0
2025-12-10,1168.0,0.72074,0.0,0.0,0.0,0.0,,,,0.0
2025-12-11,7108.0,4.868363764,2.0,177.72299999999996,3.0,5.0,95.81792272727273,57.0,134.0,66.0
2025-12-12,9415.0,6.42711894,2.0,265.437,17.0,5.0,125.51808108108109,55.0,155.0,185.0
2025-12-13,5532.0,3.85298595,1.0,154.4139999999999,3.0,3.0,86.55642142857141,78.0,101.0,56.0
2025-12-14,17556.0,11.536583966999991,6.0,450.3569999999999,26.0,9.0,117.82596307692307,52.0,152.0,975.0
2025-12-15,1712.0,1.04381,1.0,1.6199999999999999,1.0,0.0,,,,0.0
2025-12-16,4909.0,2.96901,3.0,0.137,0.0,0.0,,,,0.0
2025-12-17,12850.0,9.26634836,12.0,318.0389999999998,13.0,7.0,112.49098982035929,59.0,140.0,167.0
2025-12-18,11928.0,8.650655024,15.0,392.2329999999993,14.0,9.0,114.97149537037038,57.0,153.0,216.0
2025-12-19,2934.0,2.04358602,2.0,85.31099999999999,2.0,1.0,85.4860465909091,70.0,102.0,88.0
2025-12-20,2963.0,1.8288900000000001,2.0,0.0,0.0,0.0,,,,0.0
2025-12-21,15720.0,10.717019079999996,5.0,411.9520000000002,24.0,7.0,113.23483011844334,67.0,143.0,591.0
2025-12-22,4926.0,3.2965659869999997,0.0,146.42600000000002,4.0,4.0,90.8718309090909,72.0,153.0,110.0
2025-12-23,1090.0,0.6604000000000001,0.0,0.178,0.0,0.0,,,,0.0
2025-12-24,2435.0,1.44653,0.0,0.0,0.0,0.0,,,,0.0
2025-12-25,1966.0,1.1293600000000001,0.0,0.0,0.0,0.0,,,,0.0
2025-12-26,21143.0,13.741192892,6.0,403.2800000000004,31.0,5.0,117.60454565217391,68.0,140.0,460.0
2025-12-27,13685.0,9.921480218000003,10.0,449.98600000000044,35.0,9.0,120.07904675767918,57.0,176.0,586.0
2025-12-28,26742.0,20.139516613000016,0.0,1021.1210000000008,63.0,12.0,151.872406870229,54.0,199.0,1048.0
2025-12-29,1808.0,1.3320691020000006,0.0,155.49499999999995,1.0,6.0,91.44014576271186,50.0,115.0,59.0
2025-12-30,17661.0,12.044198249999996,2.0,338.40900000000016,7.0,5.0,93.19976829268292,48.0,120.0,82.0
2025-12-31,35.0,0.028515190000000003,0.0,1.734,0.0,2.0,119.46666666666667,116.0,130.0,15.0
2026-01-01,23933.0,17.190253070000004,0.0,477.4639999999995,8.0,8.0,89.11674571428571,55.0,122.0,70.0
2026-01-02,21951.0,15.972755589999998,4.0,478.34399999999994,12.0,7.0,100.54179130434783,60.0,137.0,230.0
2026-01-03,2253.0,1.6017099599999998,0.0,39.153,6.0,2.0,97.66666666666667,79.0,109.0,3.0
2026-01-04,14944.0,11.437774136000003,9.0,354.449,22.0,6.0,115.63611560000001,68.0,137.0,250.0
2026-01-05,5758.0,4.265868800000001,0.0,226.81799999999987,0.0,6.0,93.08912089552238,57.0,130.0,67.0
2026-01-06,7268.0,5.014277469999998,1.0,192.40899999999968,6.0,3.0,134.86469098712445,56.0,156.0,233.0
2026-01-07,8858.0,6.363498009999999,3.0,227.6449999999999,5.0,5.0,,,,0.0
2026-01-08,22293.0,16.118716689999992,6.0,589.733999999999,22.0,14.0,113.69451751968504,53.0,142.0,508.0
2026-01-09,7135.0,5.284113371999999,0.0,104.72800000000001,3.0,3.0,94.79102068965516,57.0,134.0,29.0
2026-01-10,8695.0,6.359939649999999,6.0,232.49800000000002,20.0,5.0,111.7665586872587,78.0,129.0,259.0
2026-01-11,1201.0,0.8029900999999999,0.0,0.0,0.0,0.0,,,,0.0
2026-01-12,8902.0,6.833243911000002,4.0,211.06000000000003,25.0,3.0,125.92595300261097,56.0,145.0,383.0
2026-01-13,3906.0,2.834460747,2.0,85.86600000000003,7.0,2.0,124.13333333333334,100.0,141.0,105.0
2026-01-14,22476.0,15.843152278999996,2.0,728.6730000000002,24.0,14.0,105.5310071332436,56.0,142.0,743.0
2026-01-15,9708.0,7.089859207999999,9.0,249.40800000000002,27.0,4.0,126.9315794621027,58.0,174.0,409.0
2026-01-16,6637.0,4.827753779999998,6.0,181.24300000000017,11.0,3.0,110.82572330097086,65.0,135.0,206.0
2026-01-17,16909.0,12.326025229999997,10.0,324.419,18.0,5.0,119.90852073732718,61.0,154.0,217.0
2026-01-18,6738.0,4.842823146999999,0.0,224.41299999999978,12.0,5.0,96.86063311258279,66.0,126.0,302.0
2026-01-19,11973.0,8.446807462,4.0,347.9290000000002,10.0,9.0,104.44182416666666,56.0,147.0,240.0
2026-01-20,11517.0,8.290997897000004,4.0,310.57000000000005,20.0,7.0,110.92647474747474,56.0,138.0,297.0
2026-01-21,22517.0,15.977084049999998,4.0,640.1020000000001,28.0,11.0,105.15372745490981,57.0,197.0,499.0
2026-01-22,8722.0,6.26938521,1.0,210.24499999999998,14.0,5.0,119.93302000000001,77.0,151.0,280.0
2026-01-23,12791.0,9.722303770000002,20.0,365.5089999999999,14.0,7.0,101.9825698224852,69.0,155.0,169.0
2026-01-24,6621.0,4.85503825,1.0,207.08099999999996,6.0,6.0,100.88391213872832,58.0,133.0,173.0
2026-01-25,600.0,0.448731,0.0,0.0,0.0,0.0,,,,0.0
2026-01-26,7110.0,5.56031982,0.0,141.6910000000001,13.0,3.0,112.23822110552763,85.0,137.0,199.0
2026-01-27,7796.0,5.699505853000002,0.0,181.22600000000003,16.0,3.0,113.87174748858448,74.0,175.0,219.0
2026-01-28,18965.0,13.678846716999997,11.0,497.92599999999914,19.0,10.0,93.85070935064935,54.0,145.0,385.0
2026-01-29,18761.0,13.966584209999997,17.0,481.49499999999983,26.0,9.0,102.54676580086581,68.0,130.0,462.0
2026-01-30,2640.0,2.0542204,0.0,48.5,1.0,1.0,97.21780909090909,79.0,123.0,11.0
2026-01-31,6172.0,4.9475279599999995,2.0,175.69200000000004,8.0,6.0,110.7440294117647,64.0,156.0,136.0
2026-02-01,4116.0,2.9346591600000003,2.0,237.36499999999967,4.0,6.0,98.44983684210526,52.0,152.0,190.0
2026-02-02,887.0,0.615044554,6.0,76.80099999999997,11.0,2.0,100.84276729559748,72.0,135.0,159.0
